    время нс.   |    основные    | второстепенные | память | тыс. |  изначально   
       181909700|        49995000|        50014999|      12|    10|не отсортирован
127985400       |49995000        |50014999        |12      |10    |отсортирован
197140100       |49995000        |50014999        |12      |10    |развёрнут
6156927400      |1249975000      |1250074999      |12      |50    |не отсортирован
3150678200      |1249975000      |1250074999      |12      |50    |отсортирован
4706116400      |1249975000      |1250074999      |12      |50    |развёрнут
25312950900     |704970235       |705170234       |12      |100   |не отсортирован
12658874600     |704970235       |705170234       |12      |100   |отсортирован
19078574300     |704970235       |705170234       |12      |100   |развёрнут
57683329600     |2659931211      |2660231210      |12      |150   |не отсортирован
28361804500     |2659931211      |2660231210      |12      |150   |отсортирован
42314306700     |2659931211      |2660231210      |12      |150   |развёрнут
176062600       |49995000        |50014999        |12      |10    |не отсортирован
125663900       |49995000        |50014999        |12      |10    |отсортирован
186218300       |49995000        |50014999        |12      |10    |развёрнут
6118071500      |1249975000      |1250074999      |12      |50    |не отсортирован
3141878400      |1249975000      |1250074999      |12      |50    |отсортирован
4686583600      |1249975000      |1250074999      |12      |50    |развёрнут
25209009400     |704970235       |705170234       |12      |100   |не отсортирован
12581538200     |704970235       |705170234       |12      |100   |отсортирован
18783677200     |704970235       |705170234       |12      |100   |развёрнут
56895865300     |2659931211      |2660231210      |12      |150   |не отсортирован
28373130200     |2659931211      |2660231210      |12      |150   |отсортирован
42365588800     |2659931211      |2660231210      |12      |150   |развёрнут
177553100       |49995000        |50014999        |12      |10    |не отсортирован
126079000       |49995000        |50014999        |12      |10    |отсортирован
187413700       |49995000        |50014999        |12      |10    |развёрнут
6132782100      |1249975000      |1250074999      |12      |50    |не отсортирован
3150177700      |1249975000      |1250074999      |12      |50    |отсортирован
4709689500      |1249975000      |1250074999      |12      |50    |развёрнут
25266999100     |704970235       |705170234       |12      |100   |не отсортирован
12596959200     |704970235       |705170234       |12      |100   |отсортирован
18799925500     |704970235       |705170234       |12      |100   |развёрнут
56945847800     |2659931211      |2660231210      |12      |150   |не отсортирован
28356957100     |2659931211      |2660231210      |12      |150   |отсортирован
42433958400     |2659931211      |2660231210      |12      |150   |развёрнут
177734000       |49995000        |50014999        |12      |10    |не отсортирован
126133600       |49995000        |50014999        |12      |10    |отсортирован
188363900       |49995000        |50014999        |12      |10    |развёрнут
6130358500      |1249975000      |1250074999      |12      |50    |не отсортирован
3158414400      |1249975000      |1250074999      |12      |50    |отсортирован
4706381700      |1249975000      |1250074999      |12      |50    |развёрнут
25268311500     |704970235       |705170234       |12      |100   |не отсортирован
12599650300     |704970235       |705170234       |12      |100   |отсортирован
18829775000     |704970235       |705170234       |12      |100   |развёрнут
56992491000     |2659931211      |2660231210      |12      |150   |не отсортирован
28366665100     |2659931211      |2660231210      |12      |150   |отсортирован
42304736800     |2659931211      |2660231210      |12      |150   |развёрнут
177339300       |49995000        |50014999        |12      |10    |не отсортирован
126209600       |49995000        |50014999        |12      |10    |отсортирован
187619600       |49995000        |50014999        |12      |10    |развёрнут
6124178200      |1249975000      |1250074999      |12      |50    |не отсортирован
3146713200      |1249975000      |1250074999      |12      |50    |отсортирован
4700004800      |1249975000      |1250074999      |12      |50    |развёрнут
25208981500     |704970235       |705170234       |12      |100   |не отсортирован
12603029700     |704970235       |705170234       |12      |100   |отсортирован
18792234000     |704970235       |705170234       |12      |100   |развёрнут
56830066800     |2659931211      |2660231210      |12      |150   |не отсортирован
28362941400     |2659931211      |2660231210      |12      |150   |отсортирован
42361734700     |2659931211      |2660231210      |12      |150   |развёрнут
