    время нс.   |    основные    | второстепенные | память | тыс. |  изначально   
         2447900|          263526|          361230|   40038|    10|не отсортирован
49100           |9999            |10003           |40038   |10    |отсортирован
1289100         |224592          |330063          |40038   |10    |развёрнут
11395900        |1533567         |2062630         |200038  |50    |не отсортирован
170700          |49999           |50003           |200038  |50    |отсортирован
6054700         |1282494         |1850073         |200038  |50    |развёрнут
23782000        |3266917         |4275364         |400038  |100   |не отсортирован
328000          |99999           |100003          |400038  |100   |отсортирован
12691500        |2715005         |4000076         |400038  |100   |развёрнут
40515400        |5166048         |6937985         |600038  |150   |не отсортирован
504900          |149999          |150003          |600038  |150   |отсортирован
19921200        |4264204         |6150077         |600038  |150   |развёрнут
1905200         |263459          |361412          |40038   |10    |не отсортирован
33500           |9999            |10003           |40038   |10    |отсортирован
1137700         |210427          |309844          |40038   |10    |развёрнут
10735000        |1532896         |2062141         |200038  |50    |не отсортирован
164300          |49999           |50003           |200038  |50    |отсортирован
5268700         |1104488         |1508969         |200038  |50    |развёрнут
22464800        |3266289         |4274522         |400038  |100   |не отсортирован
330000          |99999           |100003          |400038  |100   |отсортирован
10026900        |2196151         |2960065         |400038  |100   |развёрнут
35370800        |5165600         |6936784         |600038  |150   |не отсортирован
626800          |149999          |150003          |600038  |150   |отсортирован
14213000        |3287504         |4410057         |600038  |150   |развёрнут
1834700         |263720          |361399          |40038   |10    |не отсортирован
33500           |9999            |10003           |40038   |10    |отсортирован
837300          |172829          |246046          |40038   |10    |развёрнут
10194000        |1533066         |2062385         |200038  |50    |не отсортирован
164100          |49999           |50003           |200038  |50    |отсортирован
4015700         |857317          |1206050         |200038  |50    |развёрнут
20940500        |3267508         |4275430         |400038  |100   |не отсортирован
326700          |99999           |100003          |400038  |100   |отсортирован
7735800         |1713220         |2406050         |400038  |100   |развёрнут
50866500        |5167513         |6937887         |600038  |150   |не отсортирован
701000          |149999          |150003          |600038  |150   |отсортирован
44270300        |2567887         |3606040         |600038  |150   |развёрнут
1827700         |263574          |361223          |40038   |10    |не отсортирован
33600           |9999            |10003           |40038   |10    |отсортирован
656500          |139673          |201244          |40038   |10    |развёрнут
9626300         |1533124         |2061927         |200038  |50    |не отсортирован
164500          |49999           |50003           |200038  |50    |отсортирован
3200900         |696636          |1001246         |200038  |50    |развёрнут
19561700        |3266150         |4273711         |400038  |100   |не отсортирован
327700          |99999           |100003          |400038  |100   |отсортирован
6403400         |1393302         |2001246         |400038  |100   |развёрнут
31418900        |5166066         |6935506         |600038  |150   |не отсортирован
493900          |149999          |150003          |600038  |150   |отсортирован
9749300         |2090289         |3001242         |600038  |150   |развёрнут
2481800         |263458          |361065          |40038   |10    |не отсортирован
44300           |9999            |10003           |40038   |10    |отсортирован
933000          |124402          |170645          |40038   |10    |развёрнут
9271700         |1533423         |2061393         |200038  |50    |не отсортирован
163900          |49999           |50003           |200038  |50    |отсортирован
2838800         |622198          |850645          |200038  |50    |развёрнут
19320300        |3266846         |4273066         |400038  |100   |не отсортирован
330600          |99999           |100003          |400038  |100   |отсортирован
5576100         |1243416         |1700645         |400038  |100   |развёрнут
30123500        |5166074         |6933657         |600038  |150   |не отсортирован
490100          |149999          |150003          |600038  |150   |отсортирован
8214000         |1865140         |2550639         |600038  |150   |развёрнут
