    время нс.   |    основные    | второстепенные | память | тыс. |  изначально   
          984600|          182988|          114260|     144|    10|не отсортирован
303300          |125439          |33377           |144     |10    |отсортирован
306600          |125452          |43381           |144     |10    |развёрнут
5457500         |1064528         |627432          |160     |50    |не отсортирован
1775900         |750015          |180219          |160     |50    |отсортирован
1786000         |750028          |230217          |160     |50    |развёрнут
11964800        |2274016         |1297573         |168     |100   |не отсортирован
3771700         |1600016         |360443          |168     |100   |отсортирован
3821700         |1600030         |460441          |168     |100   |развёрнут
17751800        |3396791         |1995553         |176     |150   |не отсортирован
5617300         |2456803         |474017          |176     |150   |отсортирован
5729800         |2456820         |624021          |176     |150   |развёрнут
955900          |182988          |114260          |144     |10    |не отсортирован
299000          |125439          |33377           |144     |10    |отсортирован
299900          |125452          |43381           |144     |10    |развёрнут
5553600         |1064528         |627432          |160     |50    |не отсортирован
1741600         |750015          |180219          |160     |50    |отсортирован
1763400         |750028          |230217          |160     |50    |развёрнут
11680600        |2274016         |1297573         |168     |100   |не отсортирован
3702700         |1600016         |360443          |168     |100   |отсортирован
3773800         |1600030         |460441          |168     |100   |развёрнут
17799100        |3396791         |1995553         |176     |150   |не отсортирован
5678800         |2456803         |474017          |176     |150   |отсортирован
5751600         |2456820         |624021          |176     |150   |развёрнут
951000          |182988          |114260          |144     |10    |не отсортирован
304500          |125439          |33377           |144     |10    |отсортирован
302800          |125452          |43381           |144     |10    |развёрнут
5697200         |1064528         |627432          |160     |50    |не отсортирован
1752000         |750015          |180219          |160     |50    |отсортирован
1783000         |750028          |230217          |160     |50    |развёрнут
11659100        |2274016         |1297573         |168     |100   |не отсортирован
3709900         |1600016         |360443          |168     |100   |отсортирован
3764200         |1600030         |460441          |168     |100   |развёрнут
17922800        |3396791         |1995553         |176     |150   |не отсортирован
5650200         |2456803         |474017          |176     |150   |отсортирован
5739700         |2456820         |624021          |176     |150   |развёрнут
948100          |182988          |114260          |144     |10    |не отсортирован
300200          |125439          |33377           |144     |10    |отсортирован
301500          |125452          |43381           |144     |10    |развёрнут
5600700         |1064528         |627432          |160     |50    |не отсортирован
1765900         |750015          |180219          |160     |50    |отсортирован
1789000         |750028          |230217          |160     |50    |развёрнут
11681700        |2274016         |1297573         |168     |100   |не отсортирован
3713200         |1600016         |360443          |168     |100   |отсортирован
3751400         |1600030         |460441          |168     |100   |развёрнут
17908400        |3396791         |1995553         |176     |150   |не отсортирован
5710200         |2456803         |474017          |176     |150   |отсортирован
5752500         |2456820         |624021          |176     |150   |развёрнут
964700          |182988          |114260          |144     |10    |не отсортирован
300900          |125439          |33377           |144     |10    |отсортирован
305900          |125452          |43381           |144     |10    |развёрнут
5615000         |1064528         |627432          |160     |50    |не отсортирован
1755700         |750015          |180219          |160     |50    |отсортирован
1769300         |750028          |230217          |160     |50    |развёрнут
11643700        |2274016         |1297573         |168     |100   |не отсортирован
3711400         |1600016         |360443          |168     |100   |отсортирован
3751000         |1600030         |460441          |168     |100   |развёрнут
17741300        |3396791         |1995553         |176     |150   |не отсортирован
5658100         |2456803         |474017          |176     |150   |отсортирован
5757000         |2456820         |624021          |176     |150   |развёрнут
