    время нс.   |    основные    | второстепенные | память | тыс. |  изначально   
       153142100|        33011887|        33019285|      20|    10|не отсортирован
28100           |9999            |10002           |20      |10    |отсортирован
197910900       |49994999        |50009996        |20      |10    |развёрнут
4414594800      |831936392       |831973955       |20      |50    |не отсортирован
124500          |49999           |50002           |20      |50    |отсортирован
4858582800      |1249974999      |1250049996      |20      |50    |развёрнут
17704995300     |3277185191      |3277258649      |20      |100   |не отсортирован
252400          |99999           |100002          |20      |100   |отсортирован
17600307700     |175715865       |175837662       |20      |100   |развёрнут
26270574600     |964725371       |964810604       |20      |150   |не отсортирован
10576338200     |2156641687      |2156700718      |20      |150   |отсортирован
33224997800     |1915986         |2096550         |20      |150   |развёрнут
146087600       |33011887        |33019285        |20      |10    |не отсортирован
26000           |9999            |10002           |20      |10    |отсортирован
193167900       |49994999        |50009996        |20      |10    |развёрнут
4394298800      |831936392       |831973955       |20      |50    |не отсортирован
123400          |49999           |50002           |20      |50    |отсортирован
4824192800      |1249974999      |1250049996      |20      |50    |развёрнут
17447705300     |3277185191      |3277258649      |20      |100   |не отсортирован
257100          |99999           |100002          |20      |100   |отсортирован
17363154600     |175715865       |175837662       |20      |100   |развёрнут
26365416700     |964725371       |964810604       |20      |150   |не отсортирован
10622362000     |2156641687      |2156700718      |20      |150   |отсортирован
33385893500     |1915986         |2096550         |20      |150   |развёрнут
146439400       |33011887        |33019285        |20      |10    |не отсортирован
25300           |9999            |10002           |20      |10    |отсортирован
193609700       |49994999        |50009996        |20      |10    |развёрнут
4405690700      |831936392       |831973955       |20      |50    |не отсортирован
125500          |49999           |50002           |20      |50    |отсортирован
4855056700      |1249974999      |1250049996      |20      |50    |развёрнут
17467313900     |3277185191      |3277258649      |20      |100   |не отсортирован
249500          |99999           |100002          |20      |100   |отсортирован
17319837100     |175715865       |175837662       |20      |100   |развёрнут
26360664700     |964725371       |964810604       |20      |150   |не отсортирован
10608030300     |2156641687      |2156700718      |20      |150   |отсортирован
33291594500     |1915986         |2096550         |20      |150   |развёрнут
146179600       |33011887        |33019285        |20      |10    |не отсортирован
24900           |9999            |10002           |20      |10    |отсортирован
193213300       |49994999        |50009996        |20      |10    |развёрнут
4405001500      |831936392       |831973955       |20      |50    |не отсортирован
124300          |49999           |50002           |20      |50    |отсортирован
4846431900      |1249974999      |1250049996      |20      |50    |развёрнут
17439432900     |3277185191      |3277258649      |20      |100   |не отсортирован
250300          |99999           |100002          |20      |100   |отсортирован
17310897400     |175715865       |175837662       |20      |100   |развёрнут
26336943200     |964725371       |964810604       |20      |150   |не отсортирован
10597460800     |2156641687      |2156700718      |20      |150   |отсортирован
33319848800     |1915986         |2096550         |20      |150   |развёрнут
146939000       |33011887        |33019285        |20      |10    |не отсортирован
24900           |9999            |10002           |20      |10    |отсортирован
193640100       |49994999        |50009996        |20      |10    |развёрнут
4411875400      |831936392       |831973955       |20      |50    |не отсортирован
124500          |49999           |50002           |20      |50    |отсортирован
4844673300      |1249974999      |1250049996      |20      |50    |развёрнут
17424437300     |3277185191      |3277258649      |20      |100   |не отсортирован
252100          |99999           |100002          |20      |100   |отсортирован
17329120200     |175715865       |175837662       |20      |100   |развёрнут
26314666800     |964725371       |964810604       |20      |150   |не отсортирован
10593237700     |2156641687      |2156700718      |20      |150   |отсортирован
33279563000     |1915986         |2096550         |20      |150   |развёрнут
